date,time_code,demand_code,demand,series_code,series,value_million_yen,value_100m_yen,unit
2023-03-01,2023000303,100,受注額合計,100,季節調整系列,2510943.56496,25109.4356496,100万円
2023-03-01,2023000303,120,海外需要,100,季節調整系列,1174298.40117,11742.9840117,100万円
2023-03-01,2023000303,130,官公需計,100,季節調整系列,292953.69415,2929.5369415,100万円
2023-03-01,2023000303,140,民間需要合計,100,季節調整系列,961470.81227,9614.7081227,100万円
2023-03-01,2023000303,160,民間需要（船舶・電力を除く）,100,季節調整系列,841965.49913,8419.6549913,100万円
2023-03-01,2023000303,170,民間需要_製造業計,100,季節調整系列,409133.28993,4091.3328993000005,100万円
2023-03-01,2023000303,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,438013.04163,4380.1304162999995,100万円
2023-03-01,2023000303,100,受注額合計,110,原系列,4057127.0,40571.27,100万円
2023-03-01,2023000303,120,海外需要,110,原系列,1473085.0,14730.85,100万円
2023-03-01,2023000303,130,官公需計,110,原系列,790872.0,7908.72,100万円
2023-03-01,2023000303,140,民間需要合計,110,原系列,1656154.0,16561.54,100万円
2023-03-01,2023000303,160,民間需要（船舶・電力を除く）,110,原系列,1380129.0,13801.29,100万円
2023-03-01,2023000303,170,民間需要_製造業計,110,原系列,613278.0,6132.78,100万円
2023-03-01,2023000303,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,769641.0,7696.41,100万円
2023-04-01,2023000404,100,受注額合計,100,季節調整系列,2692848.4768,26928.484768,100万円
2023-04-01,2023000404,120,海外需要,100,季節調整系列,1114271.89683,11142.7189683,100万円
2023-04-01,2023000404,130,官公需計,100,季節調整系列,343747.40747,3437.4740746999996,100万円
2023-04-01,2023000404,140,民間需要合計,100,季節調整系列,999483.96915,9994.8396915,100万円
2023-04-01,2023000404,160,民間需要（船舶・電力を除く）,100,季節調整系列,879316.7135,8793.167135,100万円
2023-04-01,2023000404,170,民間需要_製造業計,100,季節調整系列,402008.05482,4020.0805482,100万円
2023-04-01,2023000404,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,472072.50017,4720.725001700001,100万円
2023-04-01,2023000404,100,受注額合計,110,原系列,2467395.0,24673.95,100万円
2023-04-01,2023000404,120,海外需要,110,原系列,1022306.0,10223.06,100万円
2023-04-01,2023000404,130,官公需計,110,原系列,359289.0,3592.89,100万円
2023-04-01,2023000404,140,民間需要合計,110,原系列,960211.0,9602.11,100万円
2023-04-01,2023000404,160,民間需要（船舶・電力を除く）,110,原系列,874076.0,8740.76,100万円
2023-04-01,2023000404,170,民間需要_製造業計,110,原系列,409152.0,4091.52,100万円
2023-04-01,2023000404,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,466766.0,4667.66,100万円
2023-05-01,2023000505,100,受注額合計,100,季節調整系列,2565945.28832,25659.4528832,100万円
2023-05-01,2023000505,120,海外需要,100,季節調整系列,1190603.44325,11906.0344325,100万円
2023-05-01,2023000505,130,官公需計,100,季節調整系列,363562.47663,3635.6247663,100万円
2023-05-01,2023000505,140,民間需要合計,100,季節調整系列,950818.4024,9508.184024,100万円
2023-05-01,2023000505,160,民間需要（船舶・電力を除く）,100,季節調整系列,839118.85242,8391.1885242,100万円
2023-05-01,2023000505,170,民間需要_製造業計,100,季節調整系列,415442.66565,4154.4266565,100万円
2023-05-01,2023000505,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,404427.56286,4044.2756286,100万円
2023-05-01,2023000505,100,受注額合計,110,原系列,2270105.0,22701.05,100万円
2023-05-01,2023000505,120,海外需要,110,原系列,1136620.0,11366.2,100万円
2023-05-01,2023000505,130,官公需計,110,原系列,252403.0,2524.03,100万円
2023-05-01,2023000505,140,民間需要合計,110,原系列,793032.0,7930.32,100万円
2023-05-01,2023000505,160,民間需要（船舶・電力を除く）,110,原系列,702241.0,7022.41,100万円
2023-05-01,2023000505,170,民間需要_製造業計,110,原系列,372035.0,3720.35,100万円
2023-05-01,2023000505,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,331524.0,3315.24,100万円
2023-06-01,2023000606,100,受注額合計,100,季節調整系列,2608958.43632,26089.5843632,100万円
2023-06-01,2023000606,120,海外需要,100,季節調整系列,1135111.01361,11351.1101361,100万円
2023-06-01,2023000606,130,官公需計,100,季節調整系列,357891.15614,3578.9115613999998,100万円
2023-06-01,2023000606,140,民間需要合計,100,季節調整系列,999829.78178,9998.2978178,100万円
2023-06-01,2023000606,160,民間需要（船舶・電力を除く）,100,季節調整系列,854927.90203,8549.2790203,100万円
2023-06-01,2023000606,170,民間需要_製造業計,100,季節調整系列,422769.77367,4227.6977367,100万円
2023-06-01,2023000606,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,433093.24663,4330.9324663,100万円
2023-06-01,2023000606,100,受注額合計,110,原系列,2754336.0,27543.36,100万円
2023-06-01,2023000606,120,海外需要,110,原系列,1235000.0,12350.0,100万円
2023-06-01,2023000606,130,官公需計,110,原系列,303810.0,3038.1,100万円
2023-06-01,2023000606,140,民間需要合計,110,原系列,1084134.0,10841.34,100万円
2023-06-01,2023000606,160,民間需要（船舶・電力を除く）,110,原系列,930029.0,9300.29,100万円
2023-06-01,2023000606,170,民間需要_製造業計,110,原系列,461767.0,4617.67,100万円
2023-06-01,2023000606,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,470233.0,4702.33,100万円
2023-07-01,2023000707,100,受注額合計,100,季節調整系列,2817399.98573,28173.999857299998,100万円
2023-07-01,2023000707,120,海外需要,100,季節調整系列,1161380.41716,11613.804171599999,100万円
2023-07-01,2023000707,130,官公需計,100,季節調整系列,362686.94769,3626.8694769,100万円
2023-07-01,2023000707,140,民間需要合計,100,季節調整系列,1252094.54468,12520.9454468,100万円
2023-07-01,2023000707,160,民間需要（船舶・電力を除く）,100,季節調整系列,847756.8846,8477.568846,100万円
2023-07-01,2023000707,170,民間需要_製造業計,100,季節調整系列,414553.02944,4145.5302944000005,100万円
2023-07-01,2023000707,200,民間需要_非製造業（船舶・電力を除く）,100,季節調整系列,430086.71359,4300.8671359,100万円
2023-07-01,2023000707,100,受注額合計,110,原系列,2573303.0,25733.03,100万円
2023-07-01,2023000707,120,海外需要,110,原系列,1090309.0,10903.09,100万円
2023-07-01,2023000707,130,官公需計,110,原系列,247346.0,2473.46,100万円
2023-07-01,2023000707,140,民間需要合計,110,原系列,1120528.0,11205.28,100万円
2023-07-01,2023000707,160,民間需要（船舶・電力を除く）,110,原系列,752680.0,7526.8,100万円
2023-07-01,2023000707,170,民間需要_製造業計,110,原系列,386235.0,3862.35,100万円
2023-07-01,2023000707,200,民間需要_非製造業（船舶・電力を除く）,110,原系列,368744.0,3687.44,100万円
2023-08-01,2023000808,100,受注額合計,100,季節調整系列,2557598.19829,25575.9819829,100万円
