series,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,季節調整系列,原系列,原系列,原系列,原系列,原系列,原系列,原系列
demand,受注額合計,海外需要,官公需計,民間需要合計,民間需要（船舶・電力を除く）,民間需要_製造業計,民間需要_非製造業（船舶・電力を除く）,受注額合計,海外需要,官公需計,民間需要合計,民間需要（船舶・電力を除く）,民間需要_製造業計,民間需要_非製造業（船舶・電力を除く）
date,,,,,,,,,,,,,,
2023-03-01,25109.4356496,11742.9840117,2929.5369415,9614.7081227,8419.6549913,4091.3328993000005,4380.1304162999995,40571.27,14730.85,7908.72,16561.54,13801.29,6132.78,7696.41
2023-04-01,26928.484768,11142.7189683,3437.4740746999996,9994.8396915,8793.167135,4020.0805482,4720.725001700001,24673.95,10223.06,3592.89,9602.11,8740.76,4091.52,4667.66
2023-05-01,25659.4528832,11906.0344325,3635.6247663,9508.184024,8391.1885242,4154.4266565,4044.2756286,22701.05,11366.2,2524.03,7930.32,7022.41,3720.35,3315.24
2023-06-01,26089.5843632,11351.1101361,3578.9115613999998,9998.2978178,8549.2790203,4227.6977367,4330.9324663,27543.36,12350.0,3038.1,10841.34,9300.29,4617.67,4702.33
2023-07-01,28173.999857299998,11613.804171599999,3626.8694769,12520.9454468,8477.568846,4145.5302944000005,4300.8671359,25733.03,10903.09,2473.46,11205.28,7526.8,3862.35,3687.44
2023-08-01,25575.9819829,11186.8669282,2904.1383652,10130.8053741,8573.492887499999,4170.6435021,4373.1654534,22218.19,10363.49,2167.44,8520.92,7429.24,3853.38,3588.82
2023-09-01,28549.9045946,13000.5166996,3932.6790075999997,10393.4372717,8640.2471912,4127.8070136,4567.7083947,32229.0,13955.67,5081.9,12061.35,10369.3,4575.03,5813.4
2023-10-01,26595.2276289,12202.301333399999,2977.4337,10113.4397355,8536.6946329,4063.6156472000002,4467.0322000999995,23775.18,11327.23,2428.21,8728.89,7574.4,3770.68,3826.94
2023-11-01,27108.338783,12489.0188762,3796.4671253,9603.3100479,8251.0756482,3953.7073308,4471.8201409,23877.9,11918.33,2447.97,8273.64,7383.81,3460.04,3934.49
2023-12-01,28667.392795099997,12519.584692800001,3958.9946375,11252.0104254,8362.6073363,4158.7243552,4323.2510987,31837.89,14355.43,3794.08,12414.09,9156.41,4407.15,4769.03
2024-01-01,26876.1035421,12323.1416847,4364.6772007,9487.388674,8358.4233346,3705.7926777,4641.6201661,22682.46,11446.86,2505.23,7600.46,6625.56,3057.84,3588.64
2024-02-01,28281.878532599996,12368.510823900002,4314.2890661,9870.361016,8811.827375,4019.5192097999998,5002.7941178,25402.67,11023.42,4503.28,8694.49,7664.66,3444.59,4256.55
2024-03-01,31396.843958800004,12305.824114399999,5584.7091503,10556.1557027,8954.850840699999,4528.3479606,4465.0822713,49527.94,15490.23,15037.14,17605.42,14174.57,6616.16,7596.71
2024-04-01,29904.514669400003,13484.2925072,3817.3159576,10955.1354116,8755.8104059,4078.4198665,4653.7215467000005,28219.14,12282.0,3894.82,10839.94,8802.79,4261.1,4555.7
