取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(千円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(千円),売上総利益(千円),営業利益(千円),経常利益(千円),当期純利益(千円),純資産(千円),総資産(千円),機械装置(千円),その他資産(千円),減価償却費(千円),減価償却累計(千円),支払リース料(千円),地代家賃(千円),銀行借入(千円),リース残高(千円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果
928845,2025-12-05,0,P 医療・福祉,0,新規先,宇都宮営業部,銀行紹介,0,48,0.642,0,パソコン,0,競合なし,0,0,一殻リース,127.923,99.071,7.243,5.897,5.687,0,0,11.657,0,9.177,0,4.331,0,81.016,5.6048,0,③要注意以下,0,0,0,0,0,0,0,0,町遣方法章町 {曽有* 自己;食】,失注
911208,2025-11-18,0,I 卸売業・小売業,0,既存先,宇都宮営業部,その他,0,60,5.524864,0,サーバーー式,0,競合あり,0,0,一般リース,2171.502,333.046,10.109,23.484,23.052,0,0,12.999,0,2.966,0,28.512,0,214.176,4.6414,0,③要注意以下,0,0,0,0,0,0,0,0,他社競合 (レート),失注
929244,2026-02-18,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,0,60,21.4,0,三菱 eーキャンター,0,競合なし,0,0,自動車リース,1763.257,462.909,8.148,147.838,91.958,0,0,586.448,154.66,17.413,103.389,87.773,7.519,263.462,3.9974,0,4-6,0,0,0,0,0,0,0,0,割立力〈葦ず {西六 白己♪),失注
932095,2025-07-11,0,I 卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,0,72,1.513944,0,スズキ キャリイ,0,競合あり,0,0,自動車リース,844.848,334.205,18.473,19.258,-17.783,0,0,0,0.501,8.766,0,25.229,0,174.148,0,0,③要注意以下,0,0,0,0,0,0,0,0,他社競合 (レート),失注
909391,2025-07-07,0,R サービス業(他に分類されないもの),0,既存先,宇都宮営業部,銀行紹介,0,84,7.360872,0,ランドクルーザー,0,競合なし,0,0,月動革リース,438.186,403.562,11.533,2.055,0.503,0,0,30.743,8.236,30.316,0,9.326,0,92.912,29.6187,0,4-6,0,0,0,0,0,0,0,0,明方法蜜子 【つ友 [己京金),失注
910084,2026-02-10,0,I 卸売業・小売業,0,既存先,宇都宮営業部,銀行紹介,0,60,4.05,0,ソフト更改,0,競合なし,0,0,ソフトリース,0,17920041176.311,26.382,26.484,23.475,0,0,1.455,0,5.446,0,3.164,0,63.072,2.4792,0,4-6,0,0,0,0,0,0,0,0,0,成約
901332,2026-03-19,0,D 建設業,0,既存先,宇都宮営業部,その他,0,48,0.38346,0,パソコン,0,競合なし,0,0,一般リース,0,67734161916.748,377.92,334.002,232.708,0,0,0,76.184,3.163,28.085,29.65,25.54,797,3.25477,0,4-6,0,0,0,0,0,0,0,0,0,成約
913608,2026-02-19,0,R サービス業(他に分類されないもの),0,既存先,宇都宮営業部,その他,0,60,0.54,0,防犯カメラシステム,0,競合なし,0,0,一殻リース,0,1197285813014.881,805.012,997.707,657.997,0,0,6310061169.873,1297.205,98.294,631.006,12972051121.698,223.165,379.979,0,0,1-3,0,0,0,0,0,0,0,0,0,成約
901659,2026-02-19,0,D 建設業,0,新規先,宇都宮営業部,銀行紹介,0,60,2.57,0,3 0tディーゼルフォークリフト,0,競合なし,0,0,割賦,194.291,84.154,4.451,17.234,-7.343,0,0,26.903,23.073,5.435,21.297,12.611,5.798,61.923,0,0,③要注意以下,0,0,0,0,0,0,0,0,0,成約
906130,2025-10-27,0,H 運輸業・郵便業,0,新規先,宇都宮営業部,銀行紹介,0,48,19.8,0,ミルクトレーラ,0,競合なし,0,0,白動車リース,1459.019,868.88,35.582,33.336,32.998,0,0,24.725,35.672,55.465,0,16.669,0,168.433,0,0,③要注意以下,0,0,0,0,0,0,0,0,0,成約
