取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
921875,2026-01-22,0,Rサービス（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2026,84,2.4,0,電話機一式,0,0,0,0,一般,2373.178,2373.178,247.916,256.375,258.223,0,0,0,26.434,253.874,0,0,0,53.296,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.00,0,奥方法変更（秋質・自己資金）,0,0,奥方法変更（秋質・自己資金）
969960,2025-04-15,0,E 製造業,0,既存先,宇都宮営業部,その他,2025,60,9.8,0,フォワード 日本フルハーフ製ウイング,0,0,0,0,自動車,4829.318,282.871,103.424,117.705,117.29,0,0,383.652,2.559,1.545,96.089,19.151,109.231,186.717,0,0,6,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.50,0,0,0,0,0
933772,2025-10-24,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,84,4.5,0,ビジネスフォン一式,0,0,0,0,一般,470.578,253.455,44.987,46.886,37.015,0,0,4.688,0,10.28,0,10.325,0,20,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.02,0,設投資見合せ（画・延期）,0,0,設投資見合せ（画・延期）
923411,2025-11-11,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2025,60,0.976263,0,サンバートラツク,0,0,0,0,自動車,36.625,9.828,-4.493,0.53,0.367,0,0,0.189,0,0.974,0,0.06,0,2.38,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.59,0,0,0,0,0
967970,2025-05-01,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2025,60,1.606347,0,スズキ ソリオ,0,0,0,0,自動車,85.813,72.08,1.984,1.265,1.184,0,0,12.837,0,12.007,0,0.866,0,18.33,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.83,0,0,0,0,0
950424,2026-02-13,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2026,72,12.2094,0,マルチプロダクト校正器,0,0,0,0,一般,227.99,200.586,89.19,89.356,59.664,0,0,0.858,0,4.8,0,2.865,0,0,2.094,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,3.02,0,関車方法変更（境・割己資金）,0,0,関車方法変更（境・割己資金）
936074,2025-10-21,0,D 建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,3.185381,0,ホンダFREED E:HEVFF CROSSTAR,0,0,0,0,自動車,1358.319,281.267,171.175,171.936,89.897,0,0,1.722,0,2.584,5.352,10.69,6.596,0,3.744,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.68,0,0,0,0,0
934326,2026-01-27,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2026,72,5.264023,0,ホンダ オデッセイ E：HEV FF,0,0,0,0,自動車,143.261,73.503,21.034,22.563,16.185,0,0,8.68,0,4.469,0.256,3.615,0,0.128,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.62,0,0,0,0,0
928161,2026-01-28,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2026,60,1.59,0,コニカミノルタ カラー複合機 bizhub C551i,0,0,0,0,一般,173.28,151.134,1.93,11.695,8.782,0,0,1.487,5.126,4.391,0,4.772,0,23.73,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.75,0,0,0,0,0
952535,2026-01-16,0,1卸売業・小売業,0,既存先,宇都宮営業部,その他,2026,60,3.049328,0,ホンダ ヨNO-N E,0,0,0,0,自動車,1443.65,251.528,5.551,4.673,3.893,0,0,24.805,-37.703,10.191,0,1.636,0,71.314,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.09,0,0,0,0,0
933845,2025-11-05,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,60,1.9,0,アクサルタアイラス スキャン（分光測色機）,0,0,0,0,一般,584.303,48.518,-4.406,0.301,-1.68,0,0,22.664,6.703,9.006,0,2.025,0,9.502,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.03,0,0,0,0,0
918918,2026-01-14,0,E 製造業,0,既存先,宇都宮営業部,銀行紹介,2026,60,2,0,インバータースクリューコンプレッサー,0,0,0,0,一般,131.332,15.735,-25.839,-24.646,14.597,0,0,22.515,0,8.004,0,3.75,28.314,5.992,0,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.95,0,0,0,0,0
928161,2026-01-30,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2026,60,0.75,0,コニカミノルタ カラー複合機 bizhub C551i,0,0,0,0,一般,173.28,151.134,1.93,11.695,8.782,0,0,1.487,5.126,4.391,0,4.772,0,23.73,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.63,0,0,0,0,0
928116,2026-01-30,0,D建設業,0,既存先,宇都宮営業部,その他,2026,60,3.793745,0,キャラバン 4ドアワゴン 標準ルーフ,0,0,0,0,自動車,241.763,39.127,-6.102,1.199,0.654,0,0,4.018,0,0.989,3.328,1.498,3.965,22.5,2.058,0,l,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.01,0,0,0,0,0
907200,2025-11-13,0,E 製造業,0,既存先,宇都宮営業部,その他,2025,60,1.7,0,バッテリーフォークリフト（つくば工場）,0,0,0,0,一般,3581.416,311.934,100.243,-25.951,-25.862,0,0,367.273,259.779,19.023,255.943,0.24,5.361,273.809,3.08704,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.10,0,0,0,0,0
910623,2026-01-16,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2026,60,17.7,0,冷蔵車大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
910623,2026-01-16,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2026,60,6.98,0,冷蔵車大型トラック,0,0,0,0,自動車,6075.224,744.341,156.83,168.444,182.303,0,0,67.594,0,21.199,149.269,4.084,765.095,2883.395,266.9395,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.50,0,0,0,0,0
936264,2025-11-10,0,E製造業,0,既存先,宇都宮営業部,銀行紹介,2025,60,4.866,0,ソフトウェア,0,0,0,0,一般,622.574,264.682,91.718,91.984,61.697,0,0,5.701,0,5.998,0,12.105,0,0,5.854,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.84,0,0,0,0,0
