ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
941595,2024/12/25,宇都宮営業部,一般,逆ネステナー,H 運輸業・郵便業,278083,70490.4,1139299,293168,48959,51440,22506,3527,57979,2843,0,6585,63114,9,既存先,一般リース,,失注,他社競合（レート）,,銀行,2300,84,1.74%
910071,2025/2/6,宇都宮営業部,一般,マイツール運用,E 製造業,50,19422.5,1380514,161185,26119,32121,20499,63,5007,6802,0,3413,11560,,既存先,一般リース,2,失注,他社合（レート）,1,ユーザー,3780,60,3.01%
948152,2023/11/17,宇都宮営業部,一般,鉄片除去機（幸袋テクノ製 KEMC-F105H）,D建設業,72910,38719.6,965204,103781,-28541,-38159,-33387,6938,28805,70185,52207,0i,40136,8_1,既存先,一般リース,2,失注,設置検資見合せ（新・基菜）,2,銀行,4550,60,3.25%
952535,2025/3/19,宇都宮営業部,一般,カラー複合機,1卸売業・小売業,71314,0,1443650,251528,5551,4673,3893,10191,0,24805,-37703,1636,0,,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,1075.68,60,2.99%
910071,2025/2/6,宇都宮営業部,一般,マイツール運用,E 製造業,50,19422.5,1380514,161185,26119,32121,20499,63,5007,6802,0,3413,11560,0,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,4400,60,3.00%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E製造業,10000,48510.92,20146542,2425344,441985,466926,306803,59168,172391,300390,7370,69487,285710,,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,3236,60,1.95%
932354,2025/1/21,宇都宮営業部,割賦,冷凍コンテナ,Rサービス業（他に分類されないもの）,72008,,492913,136879,-2457,-3196,-2666,,0,2349,,2148,81435,5,新規先,割賦,2,失注,数興費見合せ（普通・越線）,1,ユーザー,5883,60,3.09%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E 製造業,10000,48510.92,20146542,2425344,441985,466926,306803,59168,172391,300390,7370,69487,285710,,既存先,一般リース,2,失注,他社競合（レート）,,ユーザー,3286,60,1.95%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E 製造業,10000,48510.92,20146542,2425344,441985,466926,306803,59168,172391,300390,7370,69487,285710,,既存先,一般リース,,失注,他社競合（レート）,1,ユーザー,3136,60,1.93%
919238,2025/1/15,宇都宮営業部,自動車,GIGA25,H 運輸業・郵便業,163770,27978,370574,75081,28082,28556,19529,7875,25057,36574,,592,3406,4,既存先,自動車リース,1,当社受注,,2,銀行,17500,60,2.89%
907473,2025/2/14,宇都宮営業部,一般,ディーゼルエンジンフォークリフト,1卸売業・小売業,14750,1925,235817,101677,9636,8088,8098,10829,,45440,-33773,6362,0,8_2,既存先,一般リース,1,当社受注,,,銀行,"2136,364",60,3.79%
896606,2025/4/7,宇都宮営業部,割賦,ミニバックホー RX-306E,D建設業,141275,17509.7,880939,169829,4380,3550,5964,10375,18190,39460,0,11757,11040,5,既存先,割賦,1,当社受注,,,ユーザー,7600,60,3.36%
