ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
941595,2024/12/25,宇都宮営業部,一般,逆ネステナー,H 運輸業・郵便業,278.083,70.4904,1139.299,293.168,48.959,51.44,22.506,3.527,57.979,2.843,0,6.585,63.114,9,既存先,一般リース,,失注,他社競合（レート）,,銀行,2.3,84,1.74%
910071,2025/2/6,宇都宮営業部,一般,マイツール運用,E 製造業,0.05,19.4225,1380.514,161.185,26.119,32.121,20.499,0.063,5.007,6.802,0,3.413,11.56,無格付,既存先,一般リース,2,失注,他社合（レート）,1,ユーザー,3.78,60,3.01%
948152,2023/11/17,宇都宮営業部,一般,鉄片除去機（幸袋テクノ製 KEMC-F105H）,D建設業,72.91,38.7196,965.204,103.781,-28.541,-38.159,-33.387,6.938,28.805,70.185,52.207,0,40.136,要注意先,既存先,一般リース,2,失注,設置検資見合せ（新・基菜）,2,銀行,4.55,60,3.25%
952535,2025/3/19,宇都宮営業部,一般,カラー複合機,1卸売業・小売業,71.314,0,1443.65,251.528,5.551,4.673,3.893,10.191,0,24.805,-37.703,1.636,0,無格付,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,1.07568,60,2.99%
910071,2025/2/6,宇都宮営業部,一般,マイツール運用,E 製造業,0.05,19.4225,1380.514,161.185,26.119,32.121,20.499,0.063,5.007,6.802,0,3.413,11.56,無格付,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,4.4,60,3.00%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E製造業,10,48.51092,20146.542,2425.344,441.985,466.926,306.803,59.168,172.391,300.39,7.37,69.487,285.71,無格付,既存先,一般リース,2,失注,他社競合（レート）,1,ユーザー,3.236,60,1.95%
932354,2025/1/21,宇都宮営業部,割賦,冷凍コンテナ,Rサービス業（他に分類されないもの）,72.008,,492.913,136.879,-2.457,-3.196,-2.666,,0,2.349,,2.148,81.435,5,新規先,割賦,2,失注,数興費見合せ（普通・越線）,1,ユーザー,5.883,60,3.09%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E 製造業,10,48.51092,20146.542,2425.344,441.985,466.926,306.803,59.168,172.391,300.39,7.37,69.487,285.71,無格付,既存先,一般リース,2,失注,他社競合（レート）,,ユーザー,3.286,60,1.95%
966816,2025/4/7,宇都宮営業部,一般,バッテリーフォークリフト 厚木事業所2-2,E 製造業,10,48.51092,20146.542,2425.344,441.985,466.926,306.803,59.168,172.391,300.39,7.37,69.487,285.71,無格付,既存先,一般リース,,失注,他社競合（レート）,1,ユーザー,3.136,60,1.93%
919238,2025/1/15,宇都宮営業部,自動車,GIGA25,H 運輸業・郵便業,163.77,27.978,370.574,75.081,28.082,28.556,19.529,7.875,25.057,36.574,,0.592,3.406,4,既存先,自動車リース,1,当社受注,,2,銀行,17.5,60,2.89%
907473,2025/2/14,宇都宮営業部,一般,ディーゼルエンジンフォークリフト,1卸売業・小売業,14.75,1.925,235.817,101.677,9.636,8.088,8.098,10.829,,45.44,-33.773,6.362,0,要注意先,既存先,一般リース,1,当社受注,,,銀行,2136.364,60,3.79%
896606,2025/4/7,宇都宮営業部,割賦,ミニバックホー RX-306E,D建設業,141.275,17.5097,880.939,169.829,4.38,3.55,5.964,10.375,18.19,39.46,0,11.757,11.04,5,既存先,割賦,1,当社受注,,,ユーザー,7.6,60,3.36%
963987,2025/2/13,宇都宮営業部,一般,介護請求ソフト,p 医療・福祉,323.588,3.2754,1485.094,976.508,31.766,35.593,-35.945,64.102,0,3.152,34.591,52.208,,4,既存先,一般リース,1,当社受注,,,ユーザー,2.7,60,2.55%
941595,2024/3/12,宇都宮営業部,一般,ラック,H 運輸業・郵便業,278.083,70.4904,1139.299,293.168,48.959,51.44,22.506,3.527,57.979,2.843,0,6.585,63.114,9,既存先,一般リース,1,当社受注,,2,銀行,59,120,1.88%
901159,2025/2/28,宇都宮営業部,一般,大判複合機,E 製造業,57,0,3055.292,343.503,5.997,11.213,5.542,3.605,58.4,82.443,,15.685,60.292,4,既存先,一般リース,1,当社受注,,,ユーザー,1.97,60,2.60%
978753,2025/2/7,宇都宮営業部,自動車,カウンターバッテリー式2、5トン51FB25PXI,E 製造業,6.006,12.864,150.87,109.327,5.899,5.557,5.557,17.796,,21.665,,3.72,,3,既存先,自動車リース,1,当社受注,,1,ユーザー,2.51,60,3.27%
902330,2024/12/4,宇都宮営業部,割賦,油圧式Bロック 室戸鉄工所製 ①,D 建設業,136.662,47.77972,1302.672,304.06,-58.085,5.33,5.546,28.071,82.018,368.849,,3.374,128.719,5,既存先,割賦,1,当社受注,,2,銀行,0.9,61,195%
901159,2025/1/28,宇都宮営業部,一般,大判複合機,E 製造業,57,0,3055.292,343.503,5.997,11.213,5.542,3.605,58.4,82.443,,15.685,60.292,4,既存先,一般リース,2,失注,炭産方法変更（通費・自責金）,1,ユーザー,1.221,60,2.66%
933933,2025/11/19,宇都宮営業部,自動車,クリッパー R06A DX GLパッケージ 2WD,p 医療・福祉,186.123,0,948.392,885.457,88.235,-293.747,-291.489,106.855,,28.816,1.393,40.342,,無格付,新規先,自動車リース,2,失注,他社競合（レート）,,銀行,1.502413,60,3.57%
912703,2026/2/26,宇都宮営業部,自動車,メルセデスベンツーAMG G 63,D 建設業,94.436,2.783,1320.816,281.119,90.071,93.385,69.827,34.897,22.956,66.319,12.715,1.447,5.256,5,既存先,自動車リース,2,失注,禁方法大更（家・自己気）,,銀行,28779.275,36,3.30%
912898,2025/12/12,宇都宮営業部,自動車,いす”GIGAウイング,Rサービス業（他に分類されないもの）,48.058,0.08,343.883,26.576,-4.985,-7.753,-7.834,1.318,,2.056,,3.063,0,要注意先,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,17.2,60,2.50%
