取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
921608,2025-12-11,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,19,0,三菱 スーパーグレード,0,0,0,0,自動車,1551.253,183.686,114.407,115.938,70.723,0,0,34.299,0,1.691,18.227,0.062,158.755,44.989,15.6144,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.11,0,他社競合（レート）,0,0,他社競合（レート）
921718,2025-08-19,0,E製造業,0,新規先,宇都宮営業部,銀行紹介,2025,84,14.85,0,精密平面研削盤,0,0,0,0,一般,113.049,31.952,2.309,4.158,-6.577,0,0,17.858,0.484,1.522,10.206,0.942,0,2.9,0,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.50,0,株式方法変更（開発・自己資金）,0,0,株式方法変更（開発・自己資金）
910805,2025-09-29,0,p 医療・福祉,0,既存先,宇都宮営業部,銀行紹介,2025,60,0.13663,0,回転式たててすり,0,0,0,0,一般,549.971,549.971,1.399,-9.804,-9.804,0,0,0,13.403,64.125,0,4.462,0,714.028,2.091,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,5.55,0,他社合（レート）,0,0,他社合（レート）
921608,2025-11-28,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,17,0,三菱 スーパーグレード,0,0,0,0,自動車,1551.253,183.686,114.407,115.938,70.723,0,0,34.299,0,1.691,18.227,0.062,158.755,44.989,15.6144,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.23,0,他社競合（レート）,0,0,他社競合（レート）
933658,2025-10-01,0,Rサービス業（他に分類されないもの）,0,新規先,宇都宮営業部,銀行紹介,2025,84,5.611854,0,ジープ コマンダー,0,0,0,0,自動車,88.673,88.673,-2.835,7.54,6.182,0,0,5.128,0,1.525,0,1.943,0,102.501,0,0,3,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.58,0,0,0,0,0
927878,2025-11-11,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,32.846533,0,メルセデスベンツG 63,0,0,0,0,自動車,19.19,17.742,-6.983,-0.52,-0.641,0,0,0,11.154,10.954,0,0,0,0,8.06,0,無格付,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.51,0,■放売見合（普題・建載）,0,0,■放売見合（普題・建載）
921608,2025-12-11,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2025,60,17,0,三菱 スーパーグレード,0,0,0,0,自動車,1551.253,183.686,114.407,115.938,70.723,0,0,34.299,0,1.691,18.227,0.062,158.755,44.989,15.6144,0,4,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,2.11,0,他社競合（レート）,0,0,他社競合（レート）
932749,2025-11-26,0,E製造業,0,新規先,宇都宮営業部,銀行紹介,2025,120,142.03,0,リア置きマニプレータ,0,0,0,0,一般,2949.485,385.971,90.049,124.591,-61.727,0,0,95.956,0.899,18.229,36.627,1.949,33.114,332.05,0,0,9,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,0,0,貴方法大更（開・自己美金）,0,0,貴方法大更（開・自己美金）
922810,2024-09-25,0,H 運輸業・郵便業,0,既存先,宇都宮営業部,銀行紹介,2024,60,19.12169,0,日野プロフィア,0,0,0,0,自動車,1719.388,97.35,25.484,42.362,34.402,0,0,136.383,112.51,2.723,174.38,10.12,58.035,195.816,0,0,5,0,0,0,0,0,0,0,0,0,失注,0,0,0,0,1.46,0,設■投資見合せ（普通・日菜）,0,0,設■投資見合せ（普通・日菜）
919634,2025-10-01,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,2.240582,0,レックスGHYBRID,0,0,0,0,自動車,1458.409,354.165,37.358,52.037,36.38,0,0,9.566,1.338,14.617,0,9.586,7.543,109.681,0.7097,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.91,0,0,0,0,0
