取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
922124,2025-06-24,0,D 建設業,0,既存先,0,銀行紹介,2025,84,0.636364,0,新明和製コンテナ,0,0,0,0,一般,401.966,79.257,2,1.989,1.175,0,0,8.207,0,3.62,1.614,3.354,7.792,56.5,4.43135,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,5.10,0,0,0,0,0
933141,2025-06-24,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,60,5.078,0,データベースサーバ、パソコン,0,0,0,0,一般,759.833,60.277,1.499,8.604,8.394,0,0,0,0,0.817,0,9.384,0,8.75,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.34,0,0,0,0,0
913970,2025-07-29,0,1卸売業・小売業,0,新規先,0,銀行紹介,2025,72,0.9995,0,岩通製ビジネスホン,0,0,0,0,割賦,1506.503,205.666,57.356,58.726,79.155,0,0,91.427,7.307,31.237,0,21.126,0,504.396,0,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.91,0,0,0,0,0
931338,2025-08-12,0,H 運輪業・郵便業,0,既存先,0,銀行紹介,2025,60,23.605,0,UDトラック 9月登録分,0,0,0,0,自動車,1919.404,101.485,12.191,33.267,19.889,0,0,3017.34,-3251.461,1.555,306.872,0.255,234.196,43.75,8.6574,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.00,0,0,0,0,0
933141,2025-06-24,0,1卸売業・小売業,0,既存先,0,銀行紹介,2025,60,0.626,0,データベースサーバ、パソコン,0,0,0,0,一般,759.833,60.277,1.499,8.604,8.394,0,0,0,0,0.817,0,9.384,0,8.75,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.41,0,0,0,0,0
927280,2025-08-27,0,1卸売業・小売業,0,既存先,0,銀行紹介,2025,60,2.6,0,エンドポイントセキュリティ,0,0,0,0,一般,414.489,410.43,20.184,11.81,7.271,0,0,60.35,0,12.935,0,6.853,0,89.077,11.661,0,5,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.53,0,0,0,0,0
917226,2025-08-07,0,p 医療・福祉,0,既存先,0,銀行紹介,2025,84,5.164,0,全自動錠剤分包機,0,0,0,0,割賦,2941.439,2641.246,4.566,35.927,22.172,0,0,0.479,112.618,168.609,0,111.664,0,479.312,3.22775,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.57,0,0,0,0,0
915962,2025-08-04,0,E製造業,0,既存先,0,銀行紹介,2025,60,1.05,0,デスクトップPC,0,0,0,0,一般,664.888,127.172,0.144,-3.455,-3.414,0,0,108.501,3.623,2.837,23.388,0.132,1.8,340.318,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.79,0,0,0,0,0
929292,2025-09-03,0,H 運輪業・郵便業,0,既存先,0,銀行紹介,2025,25,4.3,0,いす”4 tウイング①,0,0,0,0,自動車,246.817,238.872,-2.967,-2.166,-2.166,0,0,7.761,0,5.058,0,1.866,0,15.491,5.6862,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.61,0,0,0,0,0
912404,2025-08-05,0,M 宿泊業・飲食サービス業,0,新規先,0,銀行紹介,2025,72,1.8,0,NAKAYO XI-LS 設置設（,0,0,0,0,一般,133.576,123.024,15.448,13.908,10.839,0,0,45.694,0,13.674,0,1.682,0,79.175122,0,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.78,0,0,0,0,0
