ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
922124,2025/6/24,宇都宮営業部,一般,新明和製コンテナ,D 建設業,56.5,4.43135,401.966,79.257,2,1.989,1.175,3.62,1.614,8.207,,3.354,7.792,,既存先,一般リース,1,当社受注,,2,銀行,0.636364,84,5.10%
933141,2025/6/24,宇都宮営業部,一般,データベースサーバ、パソコン,1卸売業・小売業,8.75,0,759.833,60.277,1.499,8.604,8.394,0.817,0,,,9.384,,,新規先,一般リース,1,当社受注,,2,銀行,5.078,60,3.34%
913970,2025/7/29,宇都宮営業部,割賦,岩通製ビジネスホン,1卸売業・小売業,504.396,0,1506.503,205.666,57.356,58.726,79.155,31.237,,91.427,7.307,21.126,,5,新規先,割賦,1,当社受注,,,銀行,0.9995,72,2.91%
931338,2025/8/12,宇都宮営業部,自動車,UDトラック 9月登録分,H 運輪業・郵便業,43.75,8.6574,1919.404,101.485,12.191,33.267,19.889,1.555,306.872,3017.34,-3251.461,0.255,234.196,5,既存先,自動車リース,1,当社受注,,2,銀行,23.605,60,2.00%
933141,2025/6/24,宇都宮営業部,一般,データベースサーバ、パソコン,1卸売業・小売業,8.75,0,759.833,60.277,1.499,8.604,8.394,0.817,,,,9.384,,,既存先,一般リース,1,当社受注,,2,銀行,0.626,60,3.41%
927280,2025/8/27,宇都宮営業部,一般,エンドポイントセキュリティ,1卸売業・小売業,89.077,11.661,414.489,410.43,20.184,11.81,7.271,12.935,,60.35,,6.853,0,5,既存先,一般リース,1,当社受注,,2,銀行,2.6,60,3.53%
917226,2025/8/7,宇都宮営業部,割賦,全自動錠剤分包機,p 医療・福祉,479.312,3.22775,2941.439,2641.246,4.566,35.927,22.172,168.609,,0.479,112.618,111.664,0,,既存先,割賦,1,当社受注,,2,銀行,5.164,84,2.57%
915962,2025/8/4,宇都宮営業部,一般,デスクトップPC,E製造業,340.318,0,664.888,127.172,0.144,-3.455,-3.414,2.837,23.388,108.501,3.623,0.132,1.8,,既存先,一般リース,1,当社受注,,,銀行,1.05,60,2.79%
929292,2025/9/3,宇都宮営業部,自動車,いす”4 tウイング①,H 運輪業・郵便業,15.491,5.6862,246.817,238.872,-2.967,-2.166,-2.166,5.058,,7.761,,1.866,,9,既存先,自動車リース,1,当社受注,,,銀行,4.3,25,2.61%
912404,2025/8/5,宇都宮営業部,一般,NAKAYO XI-LS 設置設（,M 宿泊業・飲食サービス業,79.175122,,133.576,123.024,15.448,13.908,10.839,13.674,,45.694,,1.682,,9,新規先,一般リース,1,当社受注,,2,銀行,1.8,72,3.78%
