ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
906290,2025/9/10,,一般,水質浄化装置,Rサービス案（他に分類されないもの）,28.5,13.68078,3537.886,2545.288,524.344,469.336,314.75,93.827,,0.297,5.933,433.53,0,4,既存先,一般リース,1,当社受注,,2,銀行,1.4,60,2.63%
909543,2025/8/22,,一般,プリンター,p 医療・福祉,18.75,57.67931,2566.008,2125.866,43.284,-12.308,-12.854,161.214,,20.14,7.997,216.071,0,6,既存先,一般リース,1,当社受注,,2,銀行,0.5,60,2.65%
932625,2025/3/6,,自動車,GIGA22,Rサービス業（他に分類されないもの）,8.497,,822.04,321.655,17.504,11.33,10.146,32.394,,25.576,,77.919,0,無格付,新規先,自動車リース,2,失注,新場方法変更く・自己貴金）,2,銀行,7.35,60,3.22%
922499,2025/8/6,,自動車,スバル レックス Z,1卸売業・小売業,13.32,3.6942,223.684,87.585,-2.878,1.673,1.673,2.914,0,3.733,0,5.807,0,無格付,既存先,自動車リース,1,当社受注,,2,銀行,2.289845,60,2.74%
932692,2025/3/18,,一般,縦入れ手動油圧クランプシステム,E製造業,15.698,,1385.123,100.971,16.489,236.104,229.421,0,52.745,26.298,43.982,5.571,11.387,4,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,1.56,84,1.70%
932976,2025/5/26,,割賦,パン型造粒機用レーキ,E 製造業,82.578,,442.039,99.804,14.441,14.214,12.756,3.391,18.232,679.222,-777.215,4.426,1.956,2,新規先,割賦,2,失注,,2,銀行,10.5,72,
912598,2025/8/21,,自動車,三菱 スーパーグレート,H 運輸業・郵便業,102.666,5.222,761.203,48.127,-19.762,-19.482,-15.404,0.614,15.893,98.888,51.092,0.455,4.371,9,既存先,一般リース,2,失注,他社競合（レート）,,銀行,14.3,84,2.31%
922914,2025/5/30,,自動車,いす”トラック,H 運輪業・郵便業,10,2.21,1950.508,1950.508,39.365,49.211,33.544,16.086,0,13.121,0,23.23,0,4,既存先,自動車リース,,失注,他社競合（レート）,2,銀行,15.5,60,2.00%
924383,2025/8/5,,自動車,アルファード HEV,H 運輸業・郵便業,26.42,3.8999,284.611,284.611,-8.657,-8.483,4.462,22.774,,19.285,28.336,4.593,,無格付,既存先,,2,失注,業績不振,,銀行,3,36,
909429,2025/8/8,,自動車,TF36H2C3型セミトレーラ,H 運輸業・郵便業,29.499,10.1494,233.763,38.848,13.881,13.662,12.472,0,12.789,10.121,43.055,3.078,5.643,無格付,既存先,自動車リース,2,失注,他社競合（レート）,2,銀行,8.3,60,2.50%
912598,2025/8/21,,自動車,三菱 スーパーグレート,H 運輸業・郵便業,102.666,5.222,761.203,48.127,-19.762,-19.482,-15.404,0.614,15.893,98.888,51.092,0.455,4.371,9,既存先,自動車リース,,失注,他社合（レート）,2,銀行,14.79,84,2.31%
