ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
934349,2026/1/30,宇都宮営業部,自動車,uDトラックス クオン (令和7年式),E製造業,15000,0,1254681,117118,9379,14261,39364,6846,34457,88254,3444,7327,8152,2,新規先,自動車リース,2,失注,愛原投え只合せ 〈辞退 延畑),2,銀行,22400,60,2.61%
933181,2026/1/9,宇都宮営業部,自動車,ルーミーG,Rサービス業 (他に分類されないもの),1088,0,725869,724875,29358,31406,31406,50934,,0,1302,0,,4,存先,自動車リース,2,失注,他社競合 (レート),2,銀行,1844.045,60,2.85%
933128,2025/6/19,宇ベ宮営兼部,自動車,ELFナロー,D建設業,962,0,76461,31831,3711,3815,3026,885,0,1772,0,460,2262,0,存先,自動車リース,2,失注,多方法屋『 (ビ力 白己住金】,2,銀行,4800,60,3.23%
910097,2026/3/16,宇7宮営業部,自動車,スズキ スペーシア,只サービス業 (他に分新きれないもの),309369,26234.95,913956,891898,71905,61216,31228,11836,0,1645,431,50731,,4,存先,白駒平リース,1,当社受注,,2,銀行,1434.672,60,2.98%
915825,2025/6/20,宇都宮営業部,自動車,日野レンジャー GC,E製造業,208585,0,171565,30256,24288,-17412,-17412,725,36034,118785,,678,2642,8_1,聡存先,自動車リース,2,失注,多方講ヱ (a真 月己貞生】,1,ユーザー,9626.94,84,
910097,2026/3/16,宇都宮営業部,自動車,スズキ スペーシア,Rサービス菜 (他に分類されないもの),309369,26234.95,913956,891898,71905,61216,31228,11836,,1645,431,50731,0,4,囲存先,自駒車リース,1,当社受注,,2,銀行,1434.672,60,2.98%
934349,2026/1/30,宇都宮営業部,自動車,三義スーパーグレート (令和7年式),E製造業,15000,0,1254681,117118,9379,14261,39364,6846,34457,88254,3444,7327,8152,2,新規先,自動車割時,1,当社受注,,2,銀行,18800,60,3.00%
,93194012025/11/20 宇都宮営業部,,自動車,ヴェルファイア,p医療・ 福祉,99057,715.7,155725,147415,34025,33778,24930,11184,0,7381,7702,10140,,4,存先,白駒.リース,2,失注,他社競合 (レート),2,銀行,6586.509,60,2.73%
934349,2026/1/30,宇都宮営業部,自動車,いすっギガ (令和6年式),E製造業,15000,0,1254681,117118,9379,14261,39364,6846,34457,88254,3444,7327,8152,2,新規先,白助車リース,2,失注,公寝裟河見合せ (辞追 延期},2,銀行,21300,60,2.60%
917344,2025/9/26,宇都宮営業部,~般,1T・OA機器,E製造業,30727,0,153229,45838,17977,17001,12295,3845,771,32565,-22722,290,1502,0,新規先,一般リース,1,当社受注,,2,銀行,8500,120,
902636,2026/1/23,宇都宮営菜部,~般,1T・OA機器,卸売業・ 小売業,2193536,0,,36335653/968934611506811,,,1659930111807161507786,,,285665,276606,977749,0,2,新規先,一般リース,2,失注,他社競合 (レート),2,銀行,228467.9,60,1.35%
919448,2026/2/10,宇都宮営部,一般,1・OA機器,Rサービス業 (他に分類されないもの),13840,948.6,218170,97330,8886,9143,6901,3793,,2194,2629,3581,0,3,囲存先,一般リース,2,失注,多理方江算い (こ方 白己o三】,2,銀行,1440,120,4.03%
907183,2025/7/14,宇都宮営業部,一般,製造設備 工作機械,E製造業,40040,0,913809,391108,172405,177990,104165,7227,56101,59708,0,8391,13227,6,新規先,一般リース,2,失注,明パ方三萱工 (a 自己行_】,2,銀行,49600,84,2.30%
908882,2026/2/12,宇都宮営業部,一般,サーマルプレートレコーダー,Rサービス業 (他に分新されないもの),39334,,187761,35688,808,915,155,1464,7049,8093,0,105,600,0,眠存先,一般リース,2,失注,町?方法章夏 【aヶ 自己良主】,2,銀行,24280,84,3.20%
913608,2026/2/19,宇都宮営英部,一般,その他 未選沢,凡サービス禁 〔他に分類されないもの),379979,,,1197285813014881,805012,997707,657997,98294,631006,169873,1297205,12972051121698,223165,2,存先,一般リース,1,当社受注,,1,ユーザー,415.95,60,3.46%
929371,2026/1/29,宇都宮宮菜剤,一般,パソコン,Rサービス業 〔他に分類されないもの),130346,4426.52,,494276914826312,573955,596559,416974,30058,0,78,1689,20855,0,4,眠存先,一般リース,1,当社受注,,2,銀行,276.1,48,4.30%
913608,2026/2/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス業 〔他に分類されないもの),379979,0,,1197285813014881,805012,997707,657997,98294,631006,169873,1297205,12972051121698,223165,2,囲存先,一般リース,1,当社受注,,1,ユーザー,420,60,2.41%
913608,2026/2/19,宇瀬宮営業部,一般,防犯カメラシステム,|サービス業 (他に分類されないもの),379979,0,,11972858/3014881/805012,,997707,657997,98294,631006,169873,169873112972051121698,121698,223165,2,眠存先,一般リース,1,当社受注,,1,ユーサー,91.588,60,3.41%
913908,2026/2/19,宇都宮営菜部,一般,防犯カメラシステム,Rサービス業 (他に分額されないもの),379979,0,,1197285813014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,金存先,一般リース,1,当社受注,,1,ユーザー,356,60,3.39%
910279,2026/3/19,|宇都宮営菜部,一般,パソコン,D建設業,60D0,3049.34,1876494,743086,18018,19197,8822,3408,,0,19062,45039,0,4,存先,一般リース,1,当社受注,,1,ユーザー,2425.34,48,3.09%
913608,2026/2/19,宇都宮営業部,一般,防犯カメラシステム,凡サーピス業 (他に分きれないもの),379979,0,,11972858/3014881/805012,,997707,657997,98294,631006,169873,1297205,1297205/121698,223165,2,眠存先,一般リース,1,当社受注,,1,ユーザー,133.4,60,3.42%
919764,2026/3/10,宇都宮営業記,~般,UTN,Rサービス業 (他に分類されないもの),258251,6110.8,,554456419659,21622,34091,24570,37454,0,9000,34531,21441,,5,聡存先,一般リース,1,当社受注,,2,銀行,1082.4,60,2.69%
925942,2026/3/16,宇報宮営紫部,~般,冷凍機,E製造業,356212,43484.22,,2031330200127,3088,1160,15115,8494,168,69681,2235,4998,49126,6,存先,一般リース,1,当社受注,,1,ユーザー,7000,72,4.01%
934198,2025/12/22,宇都宮営菜部,~般,システムリプレイス (ソフト),Rサービス兼 (他に分されないもの】,55000,0,,198283111479197,205099,206017,142609,96630,,36213,,48540,,3,眠存先,ソフトリース,1,当社受注,,2,銀行,7205.147,60,2.70%
933128,2025/6/19,宇都古営菜部,自動車,三菱キャンター,D建設業,962,0,76461,31831,3711,3815,3026,885,,1772,0,460,2262,0,新規先,自動車リース,2,失注,と子方バとw (; 白己元主】,2,銀行,5000,60,3.24%
919764,2025/12/4,宇都宮営業部,~般,LEロプライスボード,Rサービス業 (他に分類されないもの),258251,6110.8,554456,419659,21622,34091,24570,37454,,9000,34531,21441,0,5,存先,一般リース,2,失注,役優齢行口合せ 〔群m 好川,2,銀行,1136,36,3.63%
928845,2025/12/5,|宇宮営業部,一般,パソコン,p医療・ 福祉,81016,5604.8,127923,99071,7243,5897,5687,9177,,11657,,4331,,8_2,新規先,一殻リース,2,失注,町遣方法章町 {曽有* 自己;食】,2,銀行,642,48,3.97%
