ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
916526,2025/7/3,宇都宮営業部,自動車,トレーラーヘッド,Rサービス業（他に分されないもの）,307.504,19.8348,966.123,122.851,21.691,24.149,16.458,1.036,46.021,78.573,0,8.257,25.121,5,既存先,自動車リース,1,当社受注,,,銀行,25.238662,48,2.75%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,,ユーザー,0.471264,60,2.21%
918284,2025/4/21,宇都宮営業部,自動車,ヤリス（ブラック）,Rサービス業（他に分類されないもの）,1070934.025,8.2937,1337.839,397.092,92.989,80.02,54.06,29.896,,12.893,0,18.897,0,5,既存先,一般リース,1,当社受注,,2,銀行,1.409527,60,3.03%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,,ユーザー,0.3323,60,2.25%
913608,2025/10/21,宇都宮営業部,一般,等備用端末機器,Rサービス業（他に分類されないも）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,,ユーザー,24.612,60,2.23%
931119,2025/9/2,宇都宮営業部,自動車,ダイハツ アトレー,D 建設業,17.542,1.4304,63.034,32.855,13.61,13.493,9.538,0,3.207,13.415,0,1.391,1.598,無格付,既存先,自動車リース,1,当社受注,,2,銀行,2.166654,60,4.21%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,,当社受注,,1,ユーザー,0.092688,60,3.34%
913608,2025/10/21,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,,当社受注,,1,ユーザー,1.99,60,2.26%
906929,2025/8/7,宇都宮営業部,自動車,アクア z,D建設業,12.5244,4.5957,199.054,46.21,10.066,4.118,4.037,0,0,10.676,,1.778,12.635,無格付,既存先,自動車リース,1,当社受注,,2,銀行,2.756591,60,3.03%0%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,1,当社受注,,,ユーザー,0.1134,60,3.42%
901331,2025/11/21,宇都宮営業部,一般,輪転機,D建設業,0,1.49986,5745.221,800.369,226.63,189.732,134.055,6.203,5.982,0,-146.097,15.75,13.157,無格付,既存先,一般リース,1,当社受注,,,ユーザー,0.64,48,3.94%
933585,2025/9/18,宇都宮営業部,一般,POWER YILLEIII,D 建設業,48.942,,255.829,59.789,7.223,5.556,10.503,7.038,2.271,16.327,,3.591,7.024,4,新規先,一般リース,1,当社受注,,2,銀行,0.825,60,3.61%
971683,2025/8/6,宇都宮営業部,一般,パソコン他,E 製造業,179.212,38.5888,2498.387,254.738,-26.788,-6.564,-3.632,3.985,96.945,215.96,0,19.601,149.793,9,既存先,一般リース,1,当社受注,,,ユーザー,9.097,60,3.22%
933259,2025/7/9,宇都宮営業部,一般,楜木粉砕機,D 建設業,11.748,0,49.659,49.659,3.689,4.471,3.49,1.676,,2.839,,0.822,0,無格付,新規先,一般リース,2,失注,,2,銀行,3.68,60,2.54%
916526,2025/7/3,宇都宮営業部,自動車,トレーラー,Rサービス業（他に分類されないもの）,307.504,19.8348,966.123,122.851,21.691,24.149,16.458,1.036,46.021,78.573,,8.257,25.121,5,既存先,自動車リース,1,当社受注,,2,銀行,17.399973,60,2.71%
931807,2025/10/17,宇都宮営業部,一般,Crestage-Solo 2錠剤供給61S,Rサービス案（他に分類されないもの）,262,4.62765,1146.683,486.013,26.729,31.237,7.445,16.323,,2.608,,42.271,0,無格付,既存先,一般リース,,当社受注,,2,銀行,2.909091,60,2.03%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,,当社受注,,,ユーザー,0.428,60,2.24%
928243,2025/10/17,宇都宮営業部,一般,防犯カメラ,D 建設業,47.4,1.484,176.446,27.725,-6.921,-7.259,-7.341,8.342,0.977,15.733,0.046,3.066,6.192,無格付,既存先,一般リース,1,当社受注,,2,銀行,0.6,60,4.00%
918284,2025/4/21,宇都宮営業部,自動車,ヤリス（スーパーホワイト2）,Rサービス（他に分類されないもの）,1070.934025,8.2937,1337.839,397.092,92.989,80.02,54.06,29.896,,12.893,,18.897,0,無格付,既存先,自動車リース,1,当社受注,,2,銀行,1.409527,60,3.03%
908805,2025/6/25,,自動車,プロボックス（HEV）,1卸売業・小売業,330.476076,8.4003,3577.826,501.783,7.653,28.177,18.74,11.579,,0.292,7.167,18.006,0,無格付,既存先,自動車リース,1,当社受注,,,銀行,1.614264,60,2.87%
932286,2025/9/1,,一般,委託販売管理システム,D建設業,53.468,3.159,7.919,1.594,0.64,0.549,0.384,,,,,0,0.044,要注意先,既存先,一般リース,1,当社受注,,,銀行,2.8,60,3.40%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,1,当社受注,,,ユーザー,0.116,60,3.43%
933575,2025/9/19,宇都宮営業部,一般,パソコンおよびソフト,D 建設業,33.814,0,179.337,33.418,-0.907,0.555,0.272,1.188,4.087,3.224,1.674,0.302,25.309,6,新規先,一般リース,1,当社受注,,2,銀行,0.2,60,2.66%
913608,2025/9/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,,ユーザー,0.41,60,2.25%
950153,2025/10/9,宇都宮営業部,一般,温水洗浄機,E 製造業,237.12,0.6971,877.613,330.748,10.469,7.644,6.981,6.891,23.487,64.509,,12.53,0.459,4,既存先,一般リース,1,当社受注,,,銀行,0.76,72,3.26%
931807,2025/9/30,宇都宮営業部,一般,CARADA電子薬歴（ソフト）,Rサービス業（他に分類されないもの）,262,4.62765,1146.683,486.013,26.729,31.237,7.445,16.323,,2.608,0,42.271,0,無格付,既存先,一般リース,1,当社受注,,,銀行,0.812,60,3.20%
918284,2025/4/21,宇都宮営業部,自動車,ャリス（マッシブグレー）,Rサービス業（他に分類されないもの）,1070.934025,8.2937,1337.839,397.092,92.989,80.02,54.06,29.896,,12.893,0,18.897,0,5,既存先,自動車リース,1,当社受注,,2,銀行,1.409527,60,3.03%
962229,2025/6/10,宇都宮営業部,一般,椅子入替一式,D建設業,270,3.48096,7834.462,991.516,131.508,88.702,60.607,5.167,1.307,,-10.688,33.498,26.645,4,既存先,一般リース,1,当社受注,,,銀行,2.7292,60,2.84%
929371,2025/8/26,宇都宮営業部,一般,パソコン一式,Rサービス業（他に分類されないもの）,130.346,4.42652,4942.769,4826.312,573.955,596.559,416.974,30.058,,0.078,1.689,20.855,0,無格付,既存先,一般リース,,当社受注,,,銀行,0.6841,48,3.07%
905966,2025/7/1,宇都宮営業部,自動車,プレオプラス（小山支社①）,Rサービス業（他に分類されないもの）,20.002,8.5417,726.982,726.982,3.103,56.457,43.163,35.92,,14.755,0,12.667,0,無格付,既存先,自動車リース,1,当社受注,,2,銀行,1.12115,60,4.69%
913608,2025/9/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.51,60,2.23%
901500,2025/10/13,宇都宮営業部,一般,デスク・ノートPC,Rサービス業（他に分類されないもの）,608.151,18.6157,4071.06,682.182,30.287,31.739,28.757,13.818,,,,54.426,1.895,5,既存先,一般リース,1,当社受注,,2,銀行,1.35,60,3.53%
931807,2025/9/30,宇都宮営業部,一般,監査レンジR,Rサービス業（他に分類されないもの）,262,4.62765,1146.683,486.013,26.729,31.237,7.445,16.323,,2.608,,42.271,,無格付,既存先,一般リース,1,当社受注,,,銀行,0.6,60,2.07%
932286,2025/9/3,宇都宮営業部,一般,システムレジスター,D 建設業,53.468,3.159,7.919,1.594,0.64,0.549,0.384,,,,,,0.044,要注意先,既存先,一般リース,,当社受注,,,銀行,1.3,60,3.61%
901332,2025/6/10,宇都宮営業部,一般,椅子入替一式,D建設業,797,3.25477,6773.416,916.748,377.92,334.002,232.708,3.163,28.085,,-76.184,29.65,25.54,無格付,既存先,一般リース,1,当社受注,,,銀行,1.3874,60,2.99%
924975,2025/5/19,宇都宮営業部,自動車,プリウス,Rサービス（他に分類されないもの）,1.817,0.442,18.241,11.508,-3.379,-3.442,-3.523,,,0,0,1.89,0,無格付,既存先,自動車リース,,当社受注,,,銀行,3.481925,60,3.53%
910097,2025/9/10,宇都宮営業部,自動車,ランドクルーザー70,Rサービス業［他に分類されないもの）,309.369,26.23495,913.956,891.898,71.905,61.216,31.228,11.836,,1.645,0.431,50.731,0,4,既存先,自動車リース,1,当社受注,,2,銀行,4.53015,60,2.50%
913608,2025/9/10,,一般,謷備用端末機器,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,21.123,60,2.23%
933181,2025/6/26,宇都宮営業部,一般,E'sシステム,Rサービス業（他に分類されないもの）,1.088,,725.869,724.875,29.358,31.406,31.406,50.934,,,1.302,,0,4,既存先,一般リース,,当社受注,,2,銀行,1.8662,84,2.58%
918664,2025/4/14,宇都宮営業部,自動車,日野プロフィア FW,E 製造業,171,43.0094,1510.581,518.904,1.123,3.388,17.224,54.886,38.266,186.429,104.874,8.11,0.148,5,既存先,自動車リース,1,当社受注,,2,銀行,26.4,60,2.41%
922274,2025/9/10,,一般,食器洗浄機,E製造業,70,0.1206,264.784,103.205,8.731,8.183,25.16,0.307,6.283,3.503,,7.16,0.331,要注意先,既存先,一般リース,1,当社受注,,2,銀行,0.7112,60,4.31%
913608,2025/9/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,,ユーザー,0.0946,60,3.41%
933603,2025/9/19,宇都宮営業部,一般,無線LANパック,M 宿泊業・飲食サービス業,17.3033,,172.291,141.018,3.402,0.938,1.123,16.664,0,7.9,,2.628,0,要注意先,新規先,一般リース,2,失注,他社競合（レート）,2,銀行,3.226,60,3.52%
977094,2025/9/8,宇都宮営業部,一般,複合機,Rサービス業（他に分類されないもの）,596.429,27.176,1215.433,917.94,956.444,161.867,857.119,107.109,,242.021,-10225.926,397.482,0,要注意先,既存先,一般リース,2,失注,製造方法変里（発・自己発金）,2,銀行,0.428,60,4.49%
910097,2025/7/30,宇都宮営業部,一般,ほのぼのシリーズ②,Rサービス系（他に分類されないもの）,309.369,26.23495,913.956,891.898,71.905,61.216,31.228,11.836,0,1.645,0.431,50.731,0,無格付,既存先,一般リース,2,失注,連方法変里開発・白己資金）,1,ユーザー,1.726,60,2.53%
930162,2024/2/6,宇都宮営業部,自動車,ハイエースパンDX GL 5ドア STDフロア,D 建設業,51.799,5.630954,426.233,47.982,6.184,6.733,6.348,0.645,6.835,0.713,0.461,0.092,1.749,無格付,新規先,自動車リース,2,失注,設量投資見合せ（最・延用）,2,銀行,2.93562,60,3.52%
916819,2024/10/,宇都宮営業部,一般,ボイラー,Rサービス案（他に分類されないもの）,18.334,0.7672,75.611,23.556,-1.158,0.617,0.125,4.26,3.365,4.29,18.352,0.084,1.5,無格付,新規先,一般リース,2,失注,調方法文更（総会・白己有金）,2,銀行,3.9,84,
910097,2025/7/30,宇都宮営業部,一般,ほのぼのシリーズ①,Rサービス線（他に分類されないもの）,309.369,26.2349,913.956,891.898,71.905,61.216,31.228,11.836,0,1.645,0.431,50.731,0,無格付,既存先,一般リース,2,失注,調場方法変■（温実・白己発会）,1,ユーザー,4.5,60,2.52%
933055,2025/6/6,宇都宮営業部,自動車,センチュリー,Rサービス業（他に分類されないもの）,135.081,0,297.658,271.192,36.326,25.836,18.358,52.628,0,96.949,0,8.262,0,5,新規先,自動車リース,2,失注,,2,銀行,27,84,
962286,2025/7/11,宇都宮営業部,一般,自勈体外式除細動器,1卸売業・小売業,23.79971,,616.105,835.535,99.699,85.747,62.597,2.419,,,0,20.834,0,無格付,既存先,一般リース,2,失注,雪場方！（設食・自己負金）,1,ユーザー,0.768,96,2.61%
932834,2025/4/31,宇都宮営業部,一般,,E 製造業,3.404,0,24.193,65.687,30.711,28.789,28.8,0.495,9.279,9.12,0.11,1.086,6.76,無格付,既存先,一般リース,2,失注,黒週方全室室（部分・自己発金,2,銀行,3,204,
901331,2025/6/10,宇都宮営業部,一般,事務用イス他,D 建設業,0,1.4998,574.522,80.036,22.663,18.973,13.405,6.203,5.982,,-14.609,15.75,13.157,無格付,既存先,一般リース,2,失注,始備設食見合せ（退・延期,2,銀行,1.8139,60,2.91%
