ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
916526,2025/7/3,宇都宮営業部,自動車,トレーラーヘッド,Rサービス業（他に分されないもの）,307504,19834.8,966123,122851,21691,24149,16458,1036,46021,78573,0,8257,25121,5,既存先,自動車リース,1,当社受注,,,銀行,25238.662,48,2.75%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,,ユーザー,471.264,60,2.21%
918284,2025/4/21,宇都宮営業部,自動車,ヤリス（ブラック）,Rサービス業（他に分類されないもの）,"1070934,025",8293.7,1337839,397092,92989,80020,54060,29896,,12893,0,18897,0,5,既存先,一般リース,1,当社受注,,2,銀行,1409.527,60,3.03%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,,ユーザー,332.3,60,2.25%
913608,2025/10/21,宇都宮営業部,一般,等備用端末機器,Rサービス業（他に分類されないも）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,,ユーザー,24612,60,2.23%
931119,2025/9/2,宇都宮営業部,自動車,ダイハツ アトレー,D 建設業,17542,1430.4,63034,32855,13610,13493,9538,0,3207,13415,0,1391,1598,0,既存先,自動車リース,1,当社受注,,2,銀行,2166.654,60,4.21%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,,当社受注,,1,ユーザー,92.688,60,3.34%
913608,2025/10/21,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,,当社受注,,1,ユーザー,1990,60,2.26%
906929,2025/8/7,宇都宮営業部,自動車,アクア z,D建設業,12524.4,4595.7,199054,46210,・10066,4118,4037,0,0,10676,,1778,12635,0,既存先,自動車リース,1,当社受注,,2,銀行,2756.591,60,3.03%0%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,,既存先,一般リース,1,当社受注,,,ユーザー,113.4,60,3.42%
901331,2025/11/21,宇都宮営業部,一般,輪転機,D建設業,0,1499.86,5745221,800369,226630,189732,134055,6203,5982,0,-146097,15750,13157,,既存先,一般リース,1,当社受注,,,ユーザー,640,48,3.94%
933585,2025/9/18,宇都宮営業部,一般,POWER YILLEIII,D 建設業,48942,,255829,59789,7223,5556,10503,7038,2271,16327,,3591,7024,4,新規先,一般リース,1,当社受注,,2,銀行,825,60,3.61%
971683,2025/8/6,宇都宮営業部,一般,パソコン他,E 製造業,179212,38588.8,2498387,254738,-26788,-6564,-3632,3985,96945,215960,0,19601,149793,9,既存先,一般リース,1,当社受注,,,ユーザー,9097,60,3.22%
933259,2025/7/9,宇都宮営業部,一般,楜木粉砕機,D 建設業,11748,0,49659,49659,3689,4471,3490,1676,,2839,,822,0,0,新規先,一般リース,2,失注,,2,銀行,3680,60,2.54%
916526,2025/7/3,宇都宮営業部,自動車,トレーラー,Rサービス業（他に分類されないもの）,307504,19834.8,966123,122851,21691,24149,16458,1036,46021,78573,,8257,25121,5,既存先,自動車リース,1,当社受注,,2,銀行,17399.973,60,2.71%
931807,2025/10/17,宇都宮営業部,一般,Crestage-Solo 2錠剤供給61S,Rサービス案（他に分類されないもの）,262000,4627.65,1146683,486013,26729,31237,7445,16323,,2608,,42271,0,,既存先,一般リース,,当社受注,,2,銀行,2909.091,60,2.03%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,,既存先,一般リース,,当社受注,,,ユーザー,428,60,2.24%
928243,2025/10/17,宇都宮営業部,一般,防犯カメラ,D 建設業,47400,1484,176446,27725,-6921,-7259,-7341,8342,977,15733,46,3066,6192,0,既存先,一般リース,1,当社受注,,2,銀行,600,60,4.00%
918284,2025/4/21,宇都宮営業部,自動車,ヤリス（スーパーホワイト2）,Rサービス（他に分類されないもの）,1070934.025,8293.7,1337839,397092,92989,80020,54060,29896,,12893,,18897,0,,既存先,自動車リース,1,当社受注,,2,銀行,1409.527,60,3.03%
908805,2025/6/25,,自動車,プロボックス（HEV）,1卸売業・小売業,330476.076,8400.3,3577826,501783,7653,28177,18740,11579,,292,7167,18006,0,,既存先,自動車リース,1,当社受注,,,銀行,1614.264,60,2.87%
932286,2025/9/1,,一般,委託販売管理システム,D建設業,53468,3159,7919,1594,640,549,384,,,,,D,44,8_1,既存先,一般リース,1,当社受注,,,銀行,2800,60,3.40%
913608,2025/10/21,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,,既存先,一般リース,1,当社受注,,,ユーザー,116,60,3.43%
933575,2025/9/19,宇都宮営業部,一般,パソコンおよびソフト,D 建設業,33814,0,179337,33418,-907,555,272,1188,4087,3224,1674,302,25309,6,新規先,一般リース,1,当社受注,,2,銀行,200,60,2.66%
913608,2025/9/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379979,0,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,,ユーザー,410,60,2.25%
950153,2025/10/9,宇都宮営業部,一般,温水洗浄機,E 製造業,237120,697.1,877613,330748,10469,7644,6981,6891,23487,64509,,12530,459,4,既存先,一般リース,1,当社受注,,,銀行,760,72,3.26%
931807,2025/9/30,宇都宮営業部,一般,CARADA電子薬歴（ソフト）,Rサービス業（他に分類されないもの）,262000,4627.65,1146683,486013,26729,31237,7445,16323,,2608,0,42271,0,,既存先,一般リース,1,当社受注,,,銀行,812,60,3.20%
918284,2025/4/21,宇都宮営業部,自動車,ャリス（マッシブグレー）,Rサービス業（他に分類されないもの）,1070934.025,8293.7,1337839,397092,92989,80020,54060,29896,,12893,0,18897,0,5,既存先,自動車リース,1,当社受注,,2,銀行,1409.527,60,3.03%
962229,2025/6/10,宇都宮営業部,一般,椅子入替一式,D建設業,270000,3480.96,7834462,991516,131508,88702,60607,5167,1307,,-10688,33498,26645,4,既存先,一般リース,1,当社受注,,,銀行,2729.2,60,2.84%
929371,2025/8/26,宇都宮営業部,一般,パソコン一式,Rサービス業（他に分類されないもの）,130346,4426.52,4942769,4826312,573955,596559,416974,30058,,78,1689,20855,0,,既存先,一般リース,,当社受注,,,銀行,684.1,48,3.07%
905966,2025/7/1,宇都宮営業部,自動車,プレオプラス（小山支社①）,Rサービス業（他に分類されないもの）,20002,8541.7,726982,726982,3103,56457,43163,35920,,14755,0,12667,0,0,既存先,自動車リース,1,当社受注,,2,銀行,1121.15,60,4.69%
913608,2025/9/19,宇都宮営業部,一般,防犯カメラシステム,Rサービス案（他に分類されないもの）,379979,,11972858,3014881,805012,997707,657997,98294,631006,169873,1297205,121698,223165,2,既存先,一般リース,1,当社受注,,1,ユーザー,510,60,2.23%
901500,2025/10/13,宇都宮営業部,一般,デスク・ノートPC,Rサービス業（他に分類されないもの）,608151,18615.7,4071060,682182,30287,31739,28757,13818,,,,54426,1895,5,既存先,一般リース,1,当社受注,,2,銀行,1350,60,3.53%
