取引先ID,審査日,企業名,業種大分類,業種小分類,取引区分,営業担当部署,紹介元,検収時期(年),リース期間(月),取得価格(百万円),物件ID（任意）,物件名（任意）,物件スコア（任意）,競合状況,競合提示金利(%),競合他社名,契約種別,売上高(百万円),売上総利益(百万円),営業利益(百万円),経常利益(百万円),当期純利益(百万円),純資産(百万円),総資産(百万円),機械装置(百万円),その他資産(百万円),減価償却費(百万円),減価償却累計(百万円),支払リース料(百万円),地代家賃(百万円),銀行借入(百万円),リース残高(百万円),契約件数,格付,定性_設立経営年数,定性_顧客安定性,定性_返済履歴,定性_事業将来性,定性_設備目的,定性_メイン取引銀行,強みタグ,担当者直感スコア(1-5),特記事項,最終結果,データ登録日,見積提示日,顧客反応日,結果日,獲得レート(%),基準金利(%),失注理由,競合他社,承認条件,結果登録メモ
930433,2025-06-18,0,D建設業,0,既存先,宇都宮営業部,銀行紹介,2025,60,18.56169,0,ドローン搭載型自律制御・レーザー計測システム,0,0,0,0,割賦,383.118,70.909,-17.952,32.612,25.034,0,0,137.053,-17.228,10.221,0,5.988,11.233,50.192,2.9784,0,9,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.71,0,0,0,0,0
913608,2025-08-20,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.128,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.42,0,0,0,0,0
918942,2025-07-30,0,D建設業,0,既存先,0,銀行紹介,2025,60,17,0,自走式破砕機,0,0,0,0,割賦,735.863,85.863,3.147,1.537,0.94,0,0,84.554,24.492,0.962,31.673,5.07,18.777,112.482,3.8997,0,要注意先,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.60,0,0,0,0,0
913608,2025-07-18,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.257,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.24,0,0,0,0,0
913608,2025-07-18,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.398,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.19,0,0,0,0,0
941146,2025-04-18,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,7.9189,0,クラウンエステートPHEV,0,0,0,0,自動車,3888.812,3721.94,292.07,289.181,204.758,0,0,7.779,4.429,97.774,0,117.418,0,25,0,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.88,0,0,0,0,0
905966,2025-07-01,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,銀行紹介,2025,60,1.234609,0,アルト HYBRID'S,0,0,0,0,自動車,726.982,726.982,3.103,56.457,43.163,0,0,14.755,0,35.92,0,12.667,0,20.002,8.5417,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,4.66,0,0,0,0,0
913608,2025-07-18,0,Rサービス業（他に分額されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.2065,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.20,0,0,0,0,0
913608,2025-08-05,0,Rサービス業（他に分額されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.314,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.16,0,0,0,0,0
913608,2025-08-05,0,Rサービス業（他に分類されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.2,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.14,0,0,0,0,0
931647,2024-09-19,0,E 製造業,0,新規先,宇都宮営業部,銀行紹介,2024,60,17.3,0,クライアントPC,0,0,0,0,一般,1249.61,431.784,-23.744,11.021,-29.075,0,0,16.213,0.037,22.53,22.345,21.464,22.737,75.007,18.72,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.21,0,0,0,0,0
932063,2025-07-09,0,D建設業,0,新規先,宇都宮営業部,銀行紹介,2025,48,31.76085,0,パソコン,0,0,0,0,一般,2107.524,571.242,204.383,210.097,144.968,0,0,7.847,9.772,5.754,19.727,10.625,58.459,0,33.216,0,無格付,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,2.10,0,0,0,0,0
913608,2025-07-18,0,Rサービス業（他に分額されないもの）,0,既存先,宇都宮営業部,その他,2025,60,0.0615,0,防犯カメラシステム,0,0,0,0,一般,11972.858,3014.881,805.012,997.707,657.997,0,0,169.873,1297.205,98.294,631.006,121.698,223.165,379.979,0,0,2,0,0,0,0,0,0,0,0,0,成約,0,0,0,0,3.51,0,0,0,0,0
