ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
930433,2025/6/18,宇都宮営業部,割賦,ドローン搭載型自律制御・レーザー計測システム,D建設業,50.192,2.9784,383.118,70.909,-17.952,32.612,25.034,10.221,0,137.053,-17.228,5.988,11.233,9,既存先,割賦,,当社受注,,2,銀行,18.56169,60,3.71%
913608,2025/8/20,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.128,60,3.42%
918942,2025/7/30,,割賦,自走式破砕機,D建設業,112.482,3.8997,735.863,85.863,3.147,1.537,0.94,0.962,31.673,84.554,24.492,5.07,18.777,七,既存先,割賦,1,当社受注,,,銀行,17,60,2.60%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.257,60,2.24%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,無格付,既存先,一般リース,1,当社受注,,1,ユーザー,0.398,60,2.19%
941146,2025/4/18,宇都宮営業部,自動車,クラウンエステートPHEV,Rサービス業（他に分類されないもの）,25,,3888.812,3721.94,292.07,289.181,204.758,97.774,,7.779,4.429,117.418,,無格付,既存先,自動車リース,,当社受注,,2,銀行,7.9189,60,2.88%
905966,2025/7/1,宇都宮営業部,自動車,アルト HYBRID'S,Rサービス業（他に分類されないもの）,20.002,8.5417,726.982,726.982,3.103,56.457,43.163,35.92,,14.755,0,12.667,,無格付,既存先,自動車リース,1,当社受注,,2,銀行,1.234609,60,4.66%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.2065,60,2.20%
913608,2025/8/5,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.314,60,2.16%
913608,2025/8/5,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.2,60,2.14%
931647,2024/9/19,宇都宮営業部,一般,クライアントPC,E 製造業,75.007,18.72,1249.61,431.784,-23.744,11.021,-29.075,22.53,22.345,16.213,0.037,21.464,22.737,無格付,新規先,一般リース,1,当社受注,,2,銀行,17.3,60,2.21%
932063,2025/7/9,宇都宮営業部,一般,パソコン,D建設業,,33.216,2107.524,571.242,204.383,210.097,144.968,5.754,19.727,7.847,9.772,10.625,58.459,無格付,新規先,一般リース,1,当社受注,,2,銀行,31.76085,48,2.10%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分額されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.0615,60,3.51%
926597,2025/1/21,宇都宮営業部,一般,HN NCカット機,E製造業,230.873,10.3827,1044.847,73.475,-115.982,-59.866,-81.611,21.499,,22.911,12.385,22.063,,要注意先,既存先,一般リース,2,失注,他社競合（レート）,2,銀行,8.65,84,4.01%
933338,2025/7/23,,一般,監視カメラシステム,H 運輪業・郵便業,136.558,0,529.376,85.088,35.247,28.261,19.94,7.553,25.866,16.324,2.807,4.756,1.208,5,新規先,一般リース,2,失注,他社競合（その他）,,銀行,0.65,60,2.72%
933309,2025/7/17,宇都宮営業部,一般,防犯カメラ,1卸売業・小売業,20.334,0,523.361,389.006,-73.036,-81.843,468.25,26.047,,17.355,0.453,25.112,,無格付,新規先,一般リース,,失注,他社合（その他）,2,銀行,3.85,84,3.64%
930991,2025/6/27,宇都宮営業部,自動車,ハイゼットカーゴ,D建設業,426.074,1.548,2652.488,400.202,36.189,33.227,23.561,6.453,,5.813,,19.792,0.091,要注意先,新規先,自動車リース,1,当社受注,,2,銀行,1.41419,72,3.53%
932736,2025/3/28,宇都宮営業部,自動車,レクサスLBXhe v,1卸売業・小売業,41.778,5.064,560.259,453.136,7.568,6.844,6.844,9.393,,3.051,13.81,11.557,,無格付,新規先,自動車リース,1,当社受注,,2,銀行,5.55,60,3.81%
906855,2025/5/19,宇都宮営業部,一般,ミニ油圧ショベル,D建設業,31.923,0,446.409,109.654,43.275,45.877,32.53,1.627,3.965,9.973,,1.332,23.13,3,既存先,一般リース,2,失注,,2,銀行,6.6,60,2.61%
933067,2025/6/10,宇都宮営業部,自動車,クラウンスポーツHEV,E 製造業,46.98,0,624.788,62.025,-4.951,8.615,8.538,3.753,2.053,8.718,,5,0.24,5,新規先,自動車リース,2,失注,,2,銀行,5.597691,60,2.51%
975692,2025/6/16,宇都宮営業部,一般,SUBGATE 24ポート,E 製造業,36.628,0,2588.576,369.376,-39.925,-39.248,-33.627,14.851,47.766,122.87,114.841,16.816,38.729,要注意先,既存先,一般リース,2,失注,,2,銀行,0.942,60,3.22%
911858,2025/7/8,宇都宮営業部,割賦,立型マシニングセンター,E 製造業,198.345,16.14,220.765,57.857,1.028,-0.571,0.111,1.465,13.167,46.372,0.198,3,4.436,9,新規先,割賦,1,当社受注,,2,銀行,14.8,60,3.22%
941421,2025/7/23,宇都宮営業部,自動車,SAMBAR VAN トランスポーター,Rサービス業（他に分額されないもの）,500,224.4283,16403.726,3103.255,759.217,768.445,508.237,183.1,0,254.309,2.912,133.049,,2,既存先,自動車リース,2,失注,他社競合（レート）,1,ユーザー,1.14064,72,2.65%
925717,2025/6/30,宇都宮営業部,自動車,キャラバン,E 製造業,74.081,4.62325,90.125,37.985,-7.793,0.051,0.14,3.893,4.363,3.793,0,4.364,0.18,9,既存先,自動車リース,1,当社受注,,2,銀行,3184.295,60,3.54%
913279,2024/7/31,宇都宮営業部,自動車,ニッサン • アトラス,1卸売業・小売業,43.69,9.612,911.298,162.339,-7.765,0.733,0.733,2.119,,0.342,0.57,61.864,,9,新規先,自動車リース,1,当社受注,,2,銀行,7.6937,72,3.20%
913608,2025/7/18,宇都宮営業部,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,0.905,60,2.17%
929371,2025/7/8,宇都宮営業部,一般,PC,Rサービス業（他に分類されないもの）,130.346,4.42652,4942.769,4826.312,573.955,596.559,416.974,30.058,0,0.078,1.689,20.855,,4,既存先,一般リース,1,当社受注,,2,銀行,0.236,48,3.57%
913608,2025/4/10,,一般,防犯カメラシステム,Rサービス業（他に分類されないもの）,379.979,0,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,25.386,60,2.22%
921561,2025/5/1,宇都宮営業部,一般,質量計量式3種混合機,E 製造業,1.92,18.533435,612.271,55.769,-5.7,-5.589,-5.634,1.319,18.984,13.738,19.393,1.072,0.792,3,既存先,一般リース,1,当社受注,,2,銀行,1.66,84,3.09%
921072,2025/6/25,宇都宮営業部,割賦,プレハブ冷蔵庫,p 医療・福祉,157.369,1.32,197.982,178.617,1.257,2.461,2.178,24.506,,4.837,1.733,0.123,0,要注意先,既存先,割賦,1,当社受注,,2,銀行,1.198,60,3.64%
913608,2025/8/5,,一般,警備用端末機器,Rサービス業（他に分類されないもの）,379.979,,11972.858,3014.881,805.012,997.707,657.997,98.294,631.006,169.873,1297.205,121.698,223.165,2,既存先,一般リース,1,当社受注,,1,ユーザー,1.162,60,2.19%
910117,2024/11/29,宇都宮営業部,自動車,三菱ファイターショートキャプ,E製造業,21651.041,27.6322,878.225,88.207,33.842,32.984,24.075,4.489,6.996,2.89,35.763,3.615,0.198,5,既存先,自動車リース,1,当社受注,,2,銀行,7.8,60,2.83%
906373,2025/6/19,宇都宮営業部,自動車,三菱スーパーグレート,H 運輸業・郵便業,278.338,31.3844,525.599,133.249,45.973,132.343,62.6,9.449,39.41,41.934,29.904,1.275,,5,既存先,自動車リース,1,当社受注,,2,銀行,14.2,60,2.62%
931462,2025/7/1,宇都宮営業部,自動車,ダイハツハイゼットトラック,Rサービス業（他に分類されないもの）,368.598,2.874,1024.212,254.914,8.274,1.781,4.977,7.883,93.692,140.883,178.893,8.553,43.251,無格付,既存先,自動車リース,1,当社受注,,2,銀行,1.003182,60,4.43%
923504,2025/6/20,宇都宮営業部,一般,プレハブ冷蔵庫,M 宿泊業・飲食サービス業,7.865,3.6636,72.581,49.278,1.319,1.233,0.918,3.095,0,,12.717,5.64,,無格付,既存先,一般リース,1,当社受注,,2,銀行,0.75,60,4.56%
