ユーザーコード,発生年月日,部署,商談区分,物件名,業種,銀行貸残,リース残,売上高,売上高総利益,営業利益,経常利益,当期利益,減価償却費,減価償却費(経費),機械・装置,その他有形固定資産,賃借料,賃借料(経費),格付,取引状態区分,契約種類,結果コード,結果,理由,商談ソースコード,商談ソース,取得価額,期間,利回り
918942,2025/5/14,宇都宮営業部,割賦,HANTA 2018製,D 建設業,112.482,3.8997,735.863,85.863,3.147,1.537,0.94,0.962,31.673,84.554,24.492,5.07,18.777,無格付,既存先,割賦,2,失注,放場検資見合せ（通・滋意）,2,銀行,11,60,2.51%
932890,2025/5/13,宇都宮営業部,一般,液体急速凍結機,M 宿泊業・飲食サービス業,143.901,0,648.883,430.186,13.526,24.667,24.432,20.29,,,0.703,36.676,,無格付,既存先,一般リース,2,失注,,2,銀行,4.33,60,2.52%
916873,2025/7/7,宇都宮営業部,一般,モニター,D 建設業,213.049,6.942,795.107,85.862,9.227,5.999,0.357,0.939,40.952,185.341,7.3,2.949,45.158,要注意先,既存先,一般リース,2,失注,原理方法文堂（・自己資金）,2,銀行,1.078,60,4.51%
933073,2025/6/10,宇都宮営業部,自動車,新型ヤリス（HEV） X,Rサービス業（他に分類されないもの）,250.328,0,112.856,39.287,1.87,1.084,1.002,3.912,,5.064,0,0.931,,9,新規先,自動車リース,2,失注,設備後資見合せ（禁品・延期）,2,銀行,2.2,60,
911208,2025/6/2,宇都宮営業部,一般,サーバー一式,1卸売業・小売業,214.176,4.6414,2171.502,333.046,10.109,23.484,23.052,2.966,,12.999,,28.512,,要注意先,既存先,一般リース,2,失注,設■液費見合せ（道・地球）,2,銀行,5.725045,60,5.03%
977094,2025/4/1,宇都宮営業部,一般,Wi-Fi設備関連,Rサービス業（他に分類されないもの）,596.429,27.176,12154.332,9179.403,956.444,1618.673,857.119,1071.09,,242.021,-10225.929,397.482,0,要注意先,既存先,一般リース,2,失注,禁通方法変更（超実・自己資金）,2,銀行,1.16,72,5.44%
922717,2025/4/16,,自動車,スカニアR500 フルトラクタ,H 運輸業・郵便業,66.615,16.4605,176.786,176.786,1.213,1.811,1.798,25.014,0,46.669,22.735,0,0,5,既存先,自動車リース,2,失注,禁道方変更（超実・自己金）,2,銀行,49.58672,72,2.61%
922717,2025/4/16,宇都宮営業部,自動車,スカニアR 500 フルトラクタ,H 運輪業・郵便業,66.615,16.4605,176.786,176.786,1.213,1.811,1.798,25.014,,46.669,22.735,,0,5,既存先,一般リース,2,失注,禁道方法変更（脳次・自己金）,2,銀行,13.473385,72,2.83%
918612,2025/5/14,宇都宮営業部,一般,フォークリフト,E 製造業,102.128,15.6191,390.684,35.84,-3.925,0.288,0.147,,0,11.246,1.768,4.88,7.608,要注意先,既存先,一般リース,1,当社受注,,2,銀行,2.9,60,4.02%
909692,2025/6/16,宇都宮営業部,一般,富士通デスクトップパソコン,Rサービス業（他に分類されないもの）,145.257,17.8631,251.628,217.694,5.899,2.903,1.326,14.36,0,1.231,21.534,0.242,2.949,5,既存先,一般リース,1,当社受注,,2,銀行,0.92,60,2.67%
